Name;Measure;Geo Type Name;Geo Place Name;Time Period
Nitrogen dioxide (NO2);Mean;UHF34;Pelham - Throgs Neck;Winter 2016-17
Nitrogen dioxide (NO2);Mean;UHF34;Flushing - Clearview;Annual Average 2014
Nitrogen dioxide (NO2);Mean;UHF34;Flushing - Clearview;Summer 2020
Nitrogen dioxide (NO2);Mean;UHF42;Borough Park;Winter 2009-10
Nitrogen dioxide (NO2);Mean;UHF42;Borough Park;Winter 2011-12
Nitrogen dioxide (NO2);Mean;UHF42;Lower Manhattan;Summer 2020
Nitrogen dioxide (NO2);Mean;UHF42;Lower Manhattan;Summer 2017
Nitrogen dioxide (NO2);Mean;UHF42;Lower Manhattan;Winter 2016-17
Nitrogen dioxide (NO2);Mean;UHF42;Borough Park;Summer 2017
Nitrogen dioxide (NO2);Mean;UHF42;Borough Park;Winter 2016-17
Nitrogen dioxide (NO2);Mean;UHF42;Bensonhurst - Bay Ridge;Winter 2009-10
Nitrogen dioxide (NO2);Mean;UHF42;Bensonhurst - Bay Ridge;Summer 2018
Nitrogen dioxide (NO2);Mean;UHF42;Coney Island - Sheepshead Bay;Winter 2011-12
Nitrogen dioxide (NO2);Mean;UHF42;Coney Island - Sheepshead Bay;Annual Average 2014
Nitrogen dioxide (NO2);Mean;UHF42;Rockaways;Winter 2011-12
Nitrogen dioxide (NO2);Mean;UHF42;Southeast Queens;Winter 2016-17
Nitrogen dioxide (NO2);Mean;UHF34;East Harlem;Winter 2011-12
Nitrogen dioxide (NO2);Mean;UHF34;Upper West Side;Winter 2009-10
Nitrogen dioxide (NO2);Mean;UHF34;Bedford Stuyvesant - Crown Heights;Winter 2010-11
Nitrogen dioxide (NO2);Mean;UHF34;Bedford Stuyvesant - Crown Heights;Summer 2009
Nitrogen dioxide (NO2);Mean;UHF34;Bedford Stuyvesant - Crown Heights;Annual Average 2013
Nitrogen dioxide (NO2);Mean;UHF34;East New York;Winter 2010-11
Nitrogen dioxide (NO2);Mean;UHF34;East New York;Winter 2014-15
Nitrogen dioxide (NO2);Mean;UHF34;East New York;Annual Average 2021
